Issuance Date/Time (Pacific),Valid Date/Time (Pacific),Stage (Feet),Flow (CFS),Trend,Threshold Exceedance Status,Observed/Forecast
04/01/2025 07:57 AM,04/04/2025 05 PM,11.44,4428,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 06 PM,11.41,4382,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 07 PM,11.38,4336,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 08 PM,11.36,4305,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 09 PM,11.33,4260,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 10 PM,11.30,4214,-,Normal,Forecast
04/01/2025 07:57 AM,04/04/2025 11 PM,11.27,4169,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 12 AM,11.25,4139,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 01 AM,11.22,4094,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 02 AM,11.20,4065,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 03 AM,11.17,4020,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 04 AM,11.15,3991,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 05 AM,11.12,3947,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 06 AM,11.10,3918,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 07 AM,11.07,3874,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 08 AM,11.06,3860,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 09 AM,11.04,3831,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 10 AM,11.02,3802,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 11 AM,11.00,3773,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 12 PM,10.97,3730,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 01 PM,10.95,3702,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 02 PM,10.93,3674,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 03 PM,10.91,3645,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 04 PM,10.88,3603,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 05 PM,10.86,3575,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 06 PM,10.84,3547,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 07 PM,10.82,3520,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 08 PM,10.79,3478,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 09 PM,10.77,3451,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 10 PM,10.75,3423,-,Normal,Forecast
04/01/2025 07:57 AM,04/05/2025 11 PM,10.73,3396,-,Normal,Forecast
04/01/2025 07:57 AM,04/06/2025 12 AM,10.71,3369,-,Normal,Forecast
04/01/2025 07:57 AM,04/06/2025 01 AM,10.69,3342,-,Normal,Forecast
04/01/2025 07:57 AM,04/06/2025 02 AM,10.67,3315,-,Normal,Forecast
04/01/2025 07:57 AM,04/06/2025 03 AM,10.64,3281,-,Normal,Forecast
04/01/2025 07:57 AM,04/06/2025 04 AM,10.62,3258,-,Normal,Forecast
04/01/2025 07:57 AM,04/06/2025 05 AM,10.60,3236,-,Normal,Forecast
